# Shot Clock Trainer — timings.csv
#
# Each row maps a YouTube video timestamp to a game event.
#
# Columns:
#   video_time  — seconds from the start of the YouTube video
#   event_type  — one of:
#                   QuarterStart    (quarter begins; set game_clock to full quarter length)
#                   QuarterEnd      (quarter ends)
#                   GameClockStart  (clock starts running)
#                   GameClockStop   (clock stops: dead ball, timeout, etc.)
#                   ShotClockStart  (shot clock begins counting)
#                   ShotClockStop   (shot clock stops with time remaining)
#                   ShotClockReset24 (shot clock reset to 24 seconds)
#                   ShotClockReset14 (shot clock reset to 14 seconds)
#   quarter     — 1, 2, 3, or 4
#   game_clock  — remaining time in quarter as MM:SS (e.g. 11:45)
#   shot_clock  — shot clock value in seconds (decimal ok); blank if not applicable
#   notes       — short description of the event/rule (e.g. "Turnover", "Shooting Foul")
#                 displayed on screen when the event fires; blank to show nothing
#
# Replace the sample rows below with the actual timecodes for this video.
#
video_time,event_type,quarter,game_clock,shot_clock,notes
2178,ShotClockStop,3,02:17,,Ball Hit Rim
2179,ShotClockReset14,3,02:16,14,Recovered By Offense
2179,ShotClockStart,3,02:16,,
2182,GameClockStop,3,02:13,,Shooting Foul
2182,ShotClockStop,3,02:13,,
2182,ShotClockReset24,3,02:13,24,
2220,GameClockStart,3,02:13,,
2220,ShotClockStart,3,02:13,,
2234,ShotClockStop,3,01:59,,Score
2234,ShotClockReset24,3,01:59,24,
2236,ShotClockStart,3,01:57,,
2248,ShotClockStop,3,01:45,,Ball Hit Rim
2250,ShotClockReset14,3,01:43,14,Recovered By Offense
2250,ShotClockStart,3,01:43,,
2261,ShotClockReset24,3,01:32,,Turnover
2266,ShotClockStop,3,01:27,,Score
2266,ShotClockReset24,3,01:27,24,
2269,GameClockStop,3,01:24,,
2269,ShotClockStop,3,01:24,,
2269,QuarterEnd,3,01:24,,
2269,ShotClockReset24,3,01:24,24,
2281,QuarterStart,4,10:00,,
2281,GameClockStart,4,10:00,,
2281,ShotClockStart,4,10:00,,
2298,GameClockStop,4,09:43,,Shooting Foul
2298,ShotClockStop,4,09:43,,
2298,ShotClockReset24,4,09:43,24,
2328,GameClockStart,4,09:43,,
2328,ShotClockStart,4,09:43,,
2343,ShotClockStop,4,09:28,,Score
2343,ShotClockReset24,4,09:28,24,
2345,ShotClockStart,4,09:26,,
2355,ShotClockStop,4,09:16,,Ball Hit Rim
2360,ShotClockReset24,4,09:11,,Recovered By Defence
2360,ShotClockStart,4,09:11,,
2364,ShotClockStop,4,09:07,,Score
2364,ShotClockReset24,4,09:07,24,
2368,ShotClockStart,4,09:03,,
2382,GameClockStop,4,08:49,,Foul
2382,ShotClockStop,4,08:49,,
2382,ShotClockReset14,4,08:49,14,
2401,GameClockStart,4,08:49,,
2401,ShotClockStart,4,08:49,,
2416,ShotClockStop,4,08:34,,Score
2416,ShotClockReset24,4,08:34,24,
2419,ShotClockStart,4,08:31,,
2435,ShotClockReset24,4,08:15,,Turnover
2453,ShotClockStop,4,07:57,,Ball Hit Rim
2454,ShotClockReset24,4,07:56,24,Recovered By Defence
2454,ShotClockStart,4,07:56,,
2466,ShotClockReset24,4,07:44,24,Turnover
2471,ShotClockStop,4,07:39,,Ball Hit Rim
2473,ShotClockReset24,4,07:37,24,Recovered By Defence
2473,ShotClockStart,4,07:37,,
2488,ShotClockStop,4,07:22,,Ball Hit Rim
2489,ShotClockReset24,4,07:21,24,Recovered By Defence
2489,ShotClockStart,4,07:21,,
2502,GameClockStop,4,07:08,,Foul
2502,ShotClockStop,4,07:08,,
2502,ShotClockReset24,4,07:08,24,
2524,GameClockStart,4,07:08,,
2524,ShotClockStart,4,07:08,,
2537,ShotClockStop,4,06:55,,Ball Hit Rim
2538,ShotClockReset24,4,06:54,,Recovered By Defence
2538,ShotClockStart,4,06:54,,
2556,ShotClockStop,4,06:36,,Score
2556,ShotClockReset24,4,06:36,24,
2558,ShotClockStart,4,06:34,,
2572,ShotClockStop,4,06:20,,Ball Hit Rim
2576,ShotClockReset14,4,06:16,14,Recovered by Offence
2576,ShotClockStart,4,06:16,,
2581,GameClockStop,4,06:11,,Out Of Bounds Turnover
2581,ShotClockStop,4,06:11,,
2581,ShotClockReset24,4,06:11,,
2598,GameClockStart,4,06:11,,
2598,ShotClockStart,4,06:11,,
2616,ShotClockReset24,4,05:53,24,Turnover
2632,ShotClockStop,4,05:37,,Score
2632,ShotClockReset24,4,05:37,24,
2635,ShotClockStart,4,05:34,,
2652,ShotClockReset24,4,05:17,,Turnover
2657,ShotClockStop,4,05:12,,Score
2657,ShotClockReset24,4,05:12,24,
2661,ShotClockStart,4,05:08,,
2678,ShotClockStop,4,04:51,,Score
2678,ShotClockReset24,4,04:51,24,
2680,ShotClockStart,4,04:49,,
2695,GameClockStop,4,04:34,,Shooting Foul
2695,ShotClockStop,4,04:34,,
2695,ShotClockReset24,4,04:34,24,
2736,GameClockStart,4,04:34,,
2736,ShotClockStart,4,04:34,,
2753,ShotClockStop,4,04:17,,Score
2753,ShotClockReset24,4,04:17,24,
2756,ShotClockStart,4,04:14,,
2763,ShotClockStop,4,04:07,,Score
2763,ShotClockReset24,4,04:07,24,
2766,ShotClockStart,4,04:04,,
2778,GameClockStop,4,03:52,,Shooting Foul
2778,ShotClockStop,4,03:52,,
2778,ShotClockReset24,4,03:52,24,
2813,GameClockStart,4,03:52,,
2813,ShotClockStart,4,03:52,,
2824,GameClockStop,4,03:41,,Out Of Bounds Turnover
2824,ShotClockStop,4,03:41,,
2824,ShotClockReset24,4,03:41,24,
2835,GameClockStart,4,03:41,,
2835,ShotClockStart,4,03:41,,
2845,ShotClockStop,4,03:31,,Ball Hit Ring
2848,ShotClockReset14,4,03:28,14,Recovered By Offense
2848,ShotClockStart,4,03:28,,
2850,GameClockStop,4,03:26,,Shooting Foul
2850,ShotClockStop,4,03:26,,
2850,ShotClockReset24,4,03:26,24,
2884,GameClockStart,4,03:26,,
2884,ShotClockStart,4,03:26,,
2897,ShotClockStop,4,03:13,,Score
2897,ShotClockReset24,4,03:13,24,
2900,ShotClockStart,4,03:10,,
2912,ShotClockStop,4,02:58,,Ball Hit Ring
2915,ShotClockReset24,4,02:55,24,Recovered By Defence
2915,ShotClockStart,4,02:55,,
2929,ShotClockStop,4,02:41,,Score
2929,ShotClockReset24,4,02:41,24,
2931,ShotClockStart,4,02:39,,
2941,ShotClockStop,4,02:29,,Ball Hit Ring
2942,ShotClockReset24,4,02:28,24,Recovered By Defence
2942,ShotClockStart,4,02:28,,
2947,ShotClockStop,4,02:23,,Score
2947,ShotClockReset24,4,02:23,24,
2949,ShotClockStart,4,02:21,,
2956,GameClockStop,4,02:14,,Foul (Bonus)
2956,ShotClockStop,4,02:14,,
2956,ShotClockReset14,4,02:14,14,
3006,GameClockStart,4,02:14,,
3006,ShotClockStart,4,02:14,,
3006,ShotClockReset24,4,02:14,24,
3014,ShotClockReset24,4,02:06,24,Turnover
3019,ShotClockStop,4,02:01,,Ball Hit Ring
3021,ShotClockReset14,4,01:59,14,Recovered By Offence
3021,ShotClockStart,4,01:59,,
3025,ShotClockStop,4,01:55,,Score
3025,ShotClockReset24,4,01:55,24,
3029,ShotClockStart,4,01:51,,
3030,GameClockStop,4,01:50,,
3030,ShotClockStop,4,01:50,,
3030,QuarterEnd,4,01:50,,
